character,unicode,short description,tags,LLM description
🥇,U+1F947,1ST PLACE MEDAL,"['first place' 'victory' 'achievement' 'success' 'competition' 'winner'
 'award']","This emoji represents a first place medal, often used to symbolize victory, achievement, and being the best in a competition or event."
🥈,U+1F948,2ND PLACE MEDAL,['medal' 'silver' 'second place' 'achievement' 'success' 'ranking'],"This emoji represents a silver medal, often used to symbolize coming in second place or achieving a high level of success."
🥉,U+1F949,3RD PLACE MEDAL,"['medal' 'bronze' 'third place' 'achievement' 'sports' 'competition'
 'recognition']","This emoji represents a bronze medal, symbolizing third place or a commendable achievement, often used in sports and competitions to recognize participants' efforts and accomplishments."
🆎,U+1F18E,AB BUTTON (BLOOD TYPE),['blood type' 'AB' 'medical' 'compatibility' 'transfusion' 'symbol'],"This emoji represents the AB blood type symbol, often used in medical contexts or when discussing blood transfusions and compatibility."
🏧,U+1F3E7,ATM SIGN,['ATM' 'banking' 'finance' 'money' 'transaction' 'location'],"This emoji represents an ATM sign, often used to indicate a location where people can withdraw cash or perform banking transactions."
🅰️,U+1F170 FE0F,A BUTTON (BLOOD TYPE),['blood type' 'letter' 'beginning' 'first letter' 'alphabet' 'A'],"This emoji represents the letter 'A', commonly used to indicate blood type, and can also symbolize the beginning or first letter of a word or name."
🅰,U+1F170,A BUTTON (BLOOD TYPE),['blood type' 'letter A' 'beginning' 'first letter' 'symbol' 'medical'],"This emoji represents the letter 'A', commonly used to indicate blood type, specifically for blood type A, and can also symbolize the beginning or first letter of a word or phrase."
🇦🇫,U+1F1E6 1F1EB,AFGHANISTAN,['Afghanistan' 'flag' 'South Asia' 'culture' 'history' 'landscape'],"This emoji represents Afghanistan, a country in South Asia known for its rich history, diverse cultures, and stunning landscapes, including the Hindu Kush mountains."
🇦🇱,U+1F1E6 1F1F1,ALBANIA,['Albania' 'flag' 'Europe' 'culture' 'heritage'],"This emoji represents Albania, a southeastern European country known for its rich history, stunning landscapes, and unique cultural heritage."
🇩🇿,U+1F1E9 1F1FF,ALGERIA,['Algeria' 'flag' 'North Africa' 'culture' 'history'],"This emoji represents Algeria, a North African country known for its rich history, diverse landscapes, and vibrant culture influenced by various civilizations throughout the ages."
🇦🇸,U+1F1E6 1F1F8,AMERICAN SAMOA,"['American Samoa' 'flag' 'Polynesian' 'culture' 'United States'
 'territory']","This emoji represents American Samoa, a territory of the United States located in the South Pacific, known for its unique blend of Polynesian culture and American influence."
🇦🇩,U+1F1E6 1F1E9,ANDORRA,['Andorra' 'flag' 'Europe' 'mountains' 'culture' 'skiing'],"This emoji represents Andorra, a small European country known for its stunning mountain landscapes, rich cultural heritage, and popular ski resorts."
🇦🇴,U+1F1E6 1F1F4,ANGOLA,['Angola' 'flag' 'Africa' 'culture' 'history'],"This emoji represents Angola, a West African country known for its rich culture, diverse landscapes, and a tumultuous history marked by colonialism and civil war."
🇦🇮,U+1F1E6 1F1EE,ANGUILLA,"['Anguilla' 'flag' 'island' 'British Overseas Territory' 'Caribbean'
 'beach' 'culture']","This emoji represents Anguilla, a British Overseas Territory known for its stunning beaches, vibrant marine life, and rich cultural heritage."
🇦🇶,U+1F1E6 1F1F6,ANTARCTICA,['Antarctica' 'continent' 'cold' 'ice' 'wildlife' 'penguins' 'seals'],"This emoji represents Antarctica, the Earth's southernmost continent known for its extreme cold, ice, and unique wildlife, such as penguins and seals."
🇦🇬,U+1F1E6 1F1EC,ANTIGUA & BARBUDA,['Antigua and Barbuda' 'flag' 'Caribbean' 'culture' 'travel' 'island'],"This emoji represents Antigua and Barbuda, a twin-island country in the West Indies known for its beautiful beaches, vibrant culture, and rich history."
♒,U+2652,AQUARIUS,"['Aquarius' 'zodiac' 'astrology' 'creativity' 'intelligence'
 'independence']","This emoji represents Aquarius, the eleventh sign in the zodiac, symbolizing creativity, intelligence, and independence, often associated with people born between January 20 and February 18."
🇦🇷,U+1F1E6 1F1F7,ARGENTINA,['Argentina' 'flag' 'South America' 'culture' 'football'],"This emoji represents Argentina, a South American country known for its vibrant culture, beautiful landscapes, and passionate football fans."
♈,U+2648,ARIES,['Aries' 'zodiac' 'astrology' 'courage' 'leadership' 'passion'],"This emoji represents Aries, the first astrological sign of the zodiac, symbolizing courage, leadership, and passion, often used to express personality traits or to indicate a person's zodiac sign."
🇦🇲,U+1F1E6 1F1F2,ARMENIA,['Armenia' 'flag' 'culture' 'history' 'South Caucasus'],"This emoji represents Armenia, a country in South Caucasus known for its rich history, ancient architecture, and cultural heritage, including the Armenian Genocide and the Armenian Apostolic Church."
🇦🇼,U+1F1E6 1F1FC,ARUBA,['Aruba' 'flag' 'island' 'Caribbean' 'culture' 'beach'],"This emoji represents Aruba, a Caribbean island known for its beautiful beaches, vibrant culture, and rich history."
🇦🇨,U+1F1E6 1F1E8,ASCENSION ISLAND,"['Ascension Island' 'flag' 'British Overseas Territory' 'wildlife'
 'South Atlantic Ocean' 'travel']","This emoji represents Ascension Island, a British Overseas Territory known for its unique wildlife, strategic location in the South Atlantic Ocean, and as a stopover for travelers between Africa and South America."
🇦🇺,U+1F1E6 1F1FA,AUSTRALIA,['Australia' 'flag' 'culture' 'nature' 'wildlife' 'travel' 'Indigenous'],"This emoji represents Australia, a country known for its unique wildlife, beautiful landscapes, and diverse cultures, including Indigenous Australian heritage and the Australian way of life."
🇦🇹,U+1F1E6 1F1F9,AUSTRIA,['Austria' 'flag' 'Europe' 'culture' 'history'],"This emoji represents Austria, a Central European country known for its rich history, beautiful landscapes, and contributions to music and arts, including the famous composer Wolfgang Amadeus Mozart."
🇦🇿,U+1F1E6 1F1FF,AZERBAIJAN,['Azerbaijan' 'flag' 'culture' 'history' 'geography' 'South Caucasus'],"This emoji represents Azerbaijan, a country in the South Caucasus region, known for its rich history, diverse culture, and beautiful landscapes, including the Caspian Sea and the Greater Caucasus Mountains."
🔙,U+1F519,BACK ARROW,['back' 'arrow' 'navigation' 'return' 'previous' 'direction'],"This emoji represents a back arrow, often used to indicate going back, returning, or navigating to a previous page or menu."
🅱️,U+1F171 FE0F,B BUTTON (BLOOD TYPE),['blood type' 'medical' 'donation' 'transfusion' 'symbol' 'B'],"This emoji represents the 'B' blood type symbol, often used in medical contexts or when discussing blood donation and transfusions."
🅱,U+1F171,B BUTTON (BLOOD TYPE),"['blood type' 'B' 'medical' 'donation' 'transfusion' 'identification'
 'communication']","This emoji represents the 'B' blood type symbol, often used in medical contexts or when discussing blood donation and transfusion, as well as in personal identification and communication about one's blood type."
🇧🇸,U+1F1E7 1F1F8,BAHAMAS,['Bahamas' 'flag' 'Caribbean' 'beach' 'marine life' 'travel'],"This emoji represents the Bahamas, a Caribbean country known for its beautiful beaches, crystal-clear waters, and vibrant marine life."
🇧🇭,U+1F1E7 1F1ED,BAHRAIN,['Bahrain' 'flag' 'Middle East' 'island' 'culture' 'tourism' 'finance'],"This emoji represents Bahrain, a small island country in the Persian Gulf known for its rich history, vibrant culture, and modern developments in tourism and finance."
🇧🇩,U+1F1E7 1F1E9,BANGLADESH,['Bangladesh' 'flag' 'South Asia' 'culture' 'textile'],"This emoji represents Bangladesh, a country in South Asia known for its rich cultural heritage, diverse landscapes, and a significant role in the global textile industry."
🇧🇧,U+1F1E7 1F1E7,BARBADOS,['Barbados' 'flag' 'Caribbean' 'island' 'culture' 'history'],"This emoji represents Barbados, a Caribbean island country known for its beautiful beaches, vibrant culture, and rich history, including its role as a former British colony."
🇧🇾,U+1F1E7 1F1FE,BELARUS,['Belarus' 'flag' 'Eastern Europe' 'history' 'architecture' 'landscape'],"This emoji represents Belarus, a landlocked Eastern European country known for its rich history, diverse landscapes, and a mix of Soviet-era architecture and modern developments."
🇧🇪,U+1F1E7 1F1EA,BELGIUM,['Belgium' 'flag' 'Europe' 'culture' 'history'],"This emoji represents Belgium, a Western European country known for its rich history, diverse culture, and famous landmarks like the Atomium and Manneken Pis."
🇧🇿,U+1F1E7 1F1FF,BELIZE,['Belize' 'flag' 'Central America' 'nature' 'culture' 'heritage'],"This emoji represents Belize, a Central American country known for its beautiful natural landscapes, diverse ecosystems, and rich cultural heritage."
🇧🇯,U+1F1E7 1F1EF,BENIN,['Benin' 'flag' 'Africa' 'culture' 'heritage'],"This emoji represents Benin, a West African country known for its rich cultural heritage, including the Royal Palaces of Abomey and the fascinating art of the Somba people."
🇧🇲,U+1F1E7 1F1F2,BERMUDA,['Bermuda' 'flag' 'island' 'travel' 'beach' 'maritime' 'history'],"This emoji represents Bermuda, a British island territory known for its pink sand beaches, crystal-clear waters, and rich maritime history, including the famous Bermuda Triangle."
🇧🇹,U+1F1E7 1F1F9,BHUTAN,['Bhutan' 'flag' 'culture' 'Himalayas' 'landscape' 'happiness'],"This emoji represents Bhutan, a small landlocked country in the Eastern Himalayas, known for its stunning landscapes, rich culture, and the concept of Gross National Happiness as a measure of progress."
🇧🇴,U+1F1E7 1F1F4,BOLIVIA,['Bolivia' 'flag' 'South America' 'culture' 'heritage' 'festival'],"This emoji represents Bolivia, a landlocked country in South America known for its diverse landscapes, rich cultural heritage, and vibrant festivals."
🇧🇦,U+1F1E7 1F1E6,BOSNIA & HERZEGOVINA,['Bosnia and Herzegovina' 'flag' 'Southeast Europe' 'culture' 'history'],"This emoji represents Bosnia and Herzegovina, a country in Southeast Europe known for its rich history, diverse cultures, and beautiful landscapes."
🇧🇼,U+1F1E7 1F1FC,BOTSWANA,['Botswana' 'flag' 'Africa' 'culture' 'democracy' 'human rights'],"This emoji represents Botswana, a landlocked country in Southern Africa known for its diverse wildlife, rich cultural heritage, and progressive policies promoting democracy and human rights."
🇧🇻,U+1F1E7 1F1FB,BOUVET ISLAND,"['Bouvet Island' 'island' 'South Atlantic Ocean' 'uninhabited' 'remote'
 'inaccessible' 'territory']","This emoji represents Bouvet Island, an uninhabited subantarctic island located in the South Atlantic Ocean, known for its remote and challenging location, making it one of the world's most inaccessible territories."
🇧🇷,U+1F1E7 1F1F7,BRAZIL,['Brazil' 'flag' 'South America' 'culture' 'nature' 'travel'],"This emoji represents Brazil, a South American country known for its diverse culture, vibrant cities, and stunning natural landscapes, including the Amazon rainforest."
🇮🇴,U+1F1EE 1F1F4,BRITISH INDIAN OCEAN TERRITORY,"['British Indian Ocean Territory' 'flag' 'territory' 'Indian Ocean'
 'dispute' 'marine life']","This emoji represents the British Indian Ocean Territory, a disputed territory in the Indian Ocean, known for its strategic location and rich marine life."
🇻🇬,U+1F1FB 1F1EC,BRITISH VIRGIN ISLANDS,['British Virgin Islands' 'flag' 'Caribbean' 'travel' 'nature' 'sailing'],"This emoji represents the British Virgin Islands, a British Overseas Territory known for its stunning beaches, lush green landscapes, and popular sailing destinations."
🇧🇳,U+1F1E7 1F1F3,BRUNEI,"['Brunei' 'flag' 'Southeast Asia' 'culture' 'economy' 'ancient temples'
 'rainforests']","This emoji represents Brunei, a small Southeast Asian nation known for its ancient temples, lush rainforests, and a strong economy driven by oil and natural gas."
🇧🇬,U+1F1E7 1F1EC,BULGARIA,['Bulgaria' 'flag' 'Europe' 'culture' 'history'],"This emoji represents Bulgaria, a southeastern European country known for its rich history, diverse landscapes, and cultural heritage including traditional music and dance."
🇧🇫,U+1F1E7 1F1EB,BURKINA FASO,['Burkina Faso' 'flag' 'West Africa' 'culture' 'heritage' 'arts'],"This emoji represents Burkina Faso, a landlocked country in West Africa known for its rich cultural heritage, diverse landscapes, and vibrant arts scene."
🇧🇮,U+1F1E7 1F1EE,BURUNDI,['Burundi' 'flag' 'Africa' 'culture' 'history'],"This emoji represents Burundi, an African country known for its rich culture, beautiful landscapes, and a history marked by political instability."
🆑,U+1F191,CL BUTTON,"['call button' 'communication' 'telephone' 'assistance' 'request'
 'customer service']","This emoji represents a call button, often used in telecommunications and customer service to initiate a call or request assistance."
🆒,U+1F192,COOL BUTTON,['cool' 'approval' 'casual' 'relaxation' 'button'],"This emoji represents a cool button, often used to express a sense of approval, relaxation, or casualness in a conversation."
🇰🇭,U+1F1F0 1F1ED,CAMBODIA,['Cambodia' 'flag' 'Southeast Asia' 'culture' 'history' 'tourism'],"This emoji represents Cambodia, a Southeast Asian country known for its rich history, including the ancient Khmer Empire and its iconic temples like Angkor Wat, as well as its beautiful beaches and cultural heritage."
🇨🇲,U+1F1E8 1F1F2,CAMEROON,['Cameroon' 'flag' 'culture' 'Africa' 'nature' 'wildlife'],"This emoji represents Cameroon, a Central African country known for its diverse cultures, lush landscapes, and rich wildlife, including the famous mountain gorillas in its rainforests."
🇨🇦,U+1F1E8 1F1E6,CANADA,['Canada' 'flag' 'country' 'North America' 'multicultural' 'culture'],"This emoji represents Canada, a North American country known for its diverse landscapes, multicultural population, and strong cultural and political values."
🇮🇨,U+1F1EE 1F1E8,CANARY ISLANDS,['Canary Islands' 'Spain' 'archipelago' 'tourism' 'nature' 'wildlife'],"This emoji represents the Canary Islands, a Spanish archipelago located in the Atlantic Ocean, known for its beautiful landscapes, diverse wildlife, and popular tourist destinations."
♋,U+264B,CANCER,['Cancer' 'zodiac' 'astrology' 'water sign' 'crab' 'emotional' 'nurturing'],"This emoji represents the zodiac sign Cancer, a water sign known for its emotional depth, intuition, and nurturing nature, often associated with the crab symbol."
🇨🇻,U+1F1E8 1F1FB,CAPE VERDE,['Cape Verde' 'flag' 'Africa' 'culture' 'music' 'island'],"This emoji represents Cape Verde, an archipelagic country in West Africa known for its beautiful beaches, vibrant music, and rich cultural heritage."
♑,U+2651,CAPRICORN,"['Capricorn' 'zodiac' 'astrology' 'goat' 'responsibility' 'ambition'
 'Earth element']","This emoji represents Capricorn, the tenth sign of the zodiac, symbolizing ambition, responsibility, and the Earth element, often associated with the goat's head or a semi-circle of stars."
🇧🇶,U+1F1E7 1F1F6,CARIBBEAN NETHERLANDS,['Caribbean Netherlands' 'flag' 'region' 'islands' 'Netherlands'],"This emoji represents the Caribbean Netherlands, a region consisting of three islands in the Caribbean Sea that are part of the Kingdom of the Netherlands."
🇰🇾,U+1F1F0 1F1FE,CAYMAN ISLANDS,['Cayman Islands' 'flag' 'Caribbean' 'beach' 'marine life' 'finance'],"This emoji represents the Cayman Islands, a British Overseas Territory known for its beautiful beaches, thriving financial sector, and diverse marine life."
🇨🇫,U+1F1E8 1F1EB,CENTRAL AFRICAN REPUBLIC,['Central African Republic' 'flag' 'Africa' 'culture' 'peace' 'stability'],"This emoji represents the Central African Republic, a landlocked country in the heart of Africa known for its diverse cultures, natural resources, and efforts towards peace and stability."
🇪🇦,U+1F1EA 1F1E6,CEUTA & MELILLA,"['Ceuta' 'Melilla' 'Spain' 'Morocco' 'enclaves' 'culture' 'Spanish'
 'Moroccan']","This emoji represents Ceuta and Melilla, two Spanish enclaves located on the northern coast of Morocco, known for their unique cultural blend of Spanish and Moroccan influences."
🇹🇩,U+1F1F9 1F1E9,CHAD,['Chad' 'flag' 'Africa' 'culture' 'heritage' 'history'],"This emoji represents Chad, a landlocked country in Central Africa known for its diverse landscapes, rich cultural heritage, and historical sites like the ancient city of Djourab."
🇨🇱,U+1F1E8 1F1F1,CHILE,['Chile' 'flag' 'South America' 'culture' 'landscape' 'heritage' 'arts'],"This emoji represents Chile, a South American country known for its diverse landscapes, including the Atacama Desert, the Andes Mountains, and the Easter Island statues, as well as its rich cultural heritage and vibrant arts scene."
